id,character,readings,shapes,components,strokes,radical_reading,radical_character,drawing,unicode
1,亜,a á,⿱,二,7.0,nhị,二,一丨フ一丨丨一,U+4E9C
2,唖,á ách nha,⿰,口亜,10.0,khẩu,口,丨フ一一丨フ一丨丨一,U+5516
3,娃,oa,⿰,女圭,9.0,nữ,女,フノ一一丨一一丨一,U+5A03
4,阿,a á ốc,⿰,⻖可,7.0,phụ,阜,フ丨一丨フ一丨,U+963F
5,哀,ai,⿴,衣口,9.0,khẩu,口,丶一丨フ一ノフノ丶,U+54C0
6,愛,ái,⿳⿱,爫冖心夂,13.0,tâm,心,ノ丶丶ノ丶フ丶フ丶丶ノフ丶,U+611B
7,挨,ai ải,⿰,⺘矣,10.0,thủ,手,一丨一フ丶ノ一一ノ丶,U+6328
8,姶,hấp ấp,⿰,女合,9.0,nữ,女,フノ一ノ丶一丨フ一,U+59F6
9,逢,bồng phùng,⿺,辶夆,10.0,sước,辵,ノフ丶一一一丨丶フ丶,U+9022
10,葵,quỳ,⿱,艹癸,12.0,thảo,艸,一丨丨フ丶ノノ丶一一ノ丶,U+8475
11,茜,thiến trệ tây tê,⿱,艹西,9.0,thảo,艸,一丨丨一丨フノフ一,U+831C
12,穐,thu,⿰,禾亀,16.0,hoà,禾,ノ一丨ノ丶ノフ丨フ一一丨フ一一フ,U+7A50
13,悪,ác,⿱,亜心,11.0,tâm,心,一丨フ一丨丨一丶フ丶丶,U+60AA
14,握,ác ốc,⿰,⺘屋,12.0,thủ,手,一丨一フ一ノ一フ丶一丨一,U+63E1
15,渥,ác ốc,⿰,⺡屋,12.0,thuỷ,水,丶丶一フ一ノ一フ丶一丨一,U+6E25
16,旭,húc,⿺,九日,6.0,nhật,日,ノフ丨フ一一,U+65ED
17,葦,vy vĩ,⿱,艹韋,12.0,thảo,艸,一丨丨フ丨一丨フ一一フ丨,U+8466
18,芦,lô lư,⿱,艹户,7.0,thảo,艸,一丨丨丶フ一ノ,U+82A6
19,鯵,sâm,⿰,魚参,19.0,ngư,魚,ノフ丨フ一丨一丶丶丶丶フ丶一ノ丶ノノノ,U+9BF5
20,梓,tử,⿰,木辛,11.0,mộc,木,一丨ノ丶丶一丶ノ一一丨,U+6893
21,圧,áp yểm yếp,⿰,厂土,5.0,thổ,土,一ノ一丨一,U+5727
22,斡,oát quản,⿸⿰,𠦝人斗,14.0,đẩu,斗,一丨丨フ一一一丨ノ丶丶丶一丨,U+65A1
23,扱,hấp tháp tráp,⿰,⺘及,6.0,thủ,手,一丨一ノフ丶,U+6271
24,宛,uyên uyển,⿱,宀夗,8.0,miên,宀,丶丶フノフ丶フフ,U+5B9B
25,姐,thư tả,⿰,女且,8.0,nữ,女,フノ一丨フ一一一,U+59D0
26,虻,manh,⿰,虫亡,9.0,trùng,虫,丨フ一丨一丶丶一フ,U+867B
27,飴,di tự,⿰,飠台,13.0,thực,食,ノ丶丶フ一一フ丶フ丶丨フ一,U+98F4
28,絢,huyến,⿰,糹旬,12.0,mịch,糸,フフ丶丶丶丶ノフ丨フ一一,U+7D62
29,綾,lăng,⿰,糹夌,14.0,mịch,糸,フフ丶丶丶丶一丨一ノ丶ノフ丶,U+7DBE
30,鮎,niêm niềm,⿰,魚占,16.0,ngư,魚,ノフ丨フ一丨一丶丶丶丶丨一丨フ一,U+9B8E
31,或,hoặc vực,⿹⿱,戈口一,8.0,qua,戈,一丨フ一一フノ丶,U+6216
32,粟,túc,⿱,覀米,12.0,mễ,米,一丨フ丨丨一丶ノ一丨ノ丶,U+7C9F
33,袷,cáp giáp khiếp kiếp,⿰,衤合,11.0,y,衣,丶フ丨ノ丶ノ丶一丨フ一,U+88B7
34,安,an yên,⿱,宀女,6.0,miên,宀,丶丶フフノ一,U+5B89
35,庵,am,⿸,广奄,11.0,nghiễm,广,丶一ノ一ノ丶丨フ一一フ,U+5EB5
36,按,án,⿰,⺘安,9.0,thủ,手,一丨一丶丶フフノ一,U+6309
37,暗,ám âm,⿰,日音,13.0,nhật,日,丨フ一一丶一丶ノ一丨フ一一,U+6697
38,案,án,⿱,安木,10.0,mộc,木,丶丶フフノ一一丨ノ丶,U+6848
39,闇,am yểm ám,⿵,門音,17.0,môn,門,丨フ一一丨フ一一丶一丶ノ一丨フ一一,U+95C7
40,鞍,an yên,⿰,革安,15.0,cách,革,一丨丨一丨フ一一丨丶丶フフノ一,U+978D
41,杏,hạnh,⿱,木口,7.0,mộc,木,一丨ノ丶丨フ一,U+674F
42,以,dĩ,⿲,𠄌丶人,4.0,nhân,人,フ丶ノ丶,U+4EE5
43,伊,y,⿰,亻尹,6.0,nhân,人,ノ丨フ一一ノ,U+4F0A
44,位,vị,⿰,亻立,7.0,nhân,人,ノ丨丶一丶ノ一,U+4F4D
45,依,y ỷ,⿰,亻衣,8.0,nhân,人,ノ丨丶一ノフノ丶,U+4F9D
46,偉,vĩ,⿰,亻韋,11.0,nhân,人,ノ丨フ丨一丨フ一一フ丨,U+5049
47,囲,vy,⿴,囗井,7.0,vi,囗,丨フ一一ノ丨一,U+56F2
48,夷,di,⿻,大弓,6.0,đại,大,一フ一フノ丶,U+5937
49,委,uy uỷ,⿱,禾女,8.0,nữ,女,ノ一丨ノ丶フノ一,U+59D4
50,威,oai uy,⿵,戌女,9.0,nữ,女,一ノ一フノ一フノ丶,U+5A01
51,尉,uý uất,⿰,尸示寸,11.0,thốn,寸,フ一ノ一一丨ノ丶一丨丶,U+5C09
52,惟,duy,⿰,⺖隹,11.0,tâm,心,丶丶丨ノ丨丶一一一丨一,U+60DF
53,意,y ý,⿱,音心,13.0,tâm,心,丶一丶ノ一丨フ一一丶フ丶丶,U+610F
54,慰,uý uỷ,⿱,尉心,15.0,tâm,心,フ一ノ一一丨ノ丶一丨丶丶フ丶丶,U+6170
55,易,dị dịch,⿱,日勿,8.0,nhật,日,丨フ一一ノフノノ,U+6613
56,椅,kỷ y ỷ,⿰,木奇,12.0,mộc,木,一丨ノ丶一ノ丶一丨フ一丨,U+6905
57,為,vi vy vị,⿸,火,9.0,hoả,火,丶ノフフフ丶丶丶丶,U+70BA
58,畏,uý,⿳,田一𧘇,9.0,điền,田,丨フ一丨一一フノ丶,U+754F
59,異,di dị,⿱,田共,11.0,điền,田,丨フ一丨一一丨丨一ノ丶,U+7570
60,移,di dị sỉ xỉ,⿰,禾多,11.0,hoà,禾,ノ一丨ノ丶ノフ丶ノフ丶,U+79FB
61,維,duy,⿰,糹隹,14.0,mịch,糸,フフ丶丶丶丶ノ丨丶一一一丨一,U+7DAD
62,緯,vĩ vị,⿰,糹韋,15.0,mịch,糸,フフ丶丶丶丶フ丨一丨フ一一フ丨,U+7DEF
63,胃,trụ vị,⿱,田月,9.0,nhục,肉,丨フ一丨一丨フ一一,U+80C3
64,萎,nuy uy uỷ,⿱,艹委,11.0,thảo,艸,一丨丨ノ一丨ノ丶フノ一,U+840E
65,衣,y ý,⿱,亠,6.0,y,衣,丶一ノフノ丶,U+8863
66,謂,vị,⿰,言胃,16.0,ngôn,言,丶一一一丨フ一丨フ一丨一丨フ一一,U+8B02
67,違,vi vy,⿺,辶韋,12.0,sước,辵,フ丨一丨フ一一フ丨丶フ丶,U+9055
68,遺,di dị,⿺,辶貴,15.0,sước,辵,丨フ一丨一丨フ一一一ノ丶丶フ丶,U+907A
69,医,y ế,⿷,匚矢,7.0,hễ,匸,一ノ一一ノ丶フ,U+533B
70,井,tĩnh tỉnh đán,⿻,二,4.0,nhị,二,一一ノ丨,U+4E95
71,亥,giai hợi,⿻,亠人,6.0,đầu,亠,丶一フノノ丶,U+4EA5
72,域,vực,⿰,土或,11.0,thổ,土,一丨一一丨フ一一フノ丶,U+57DF
73,育,dục,⿳,亠厶月,8.0,nhục,肉,丶一フ丶丨フ一一,U+80B2
74,郁,uất Úc úc,⿰,有⻏,8.0,ấp,邑,一ノ丨フ一一フ丨,U+90C1
75,磯,ki ky,⿰,石幾,17.0,thạch,石,一ノ丨フ一フフ丶フフ丶一ノ丶フノ丶,U+78EF
76,一,nhất,⿻,一,1.0,nhất,一,一,U+4E00
77,壱,nhất,⿳,士冖匕,7.0,sĩ,士,一丨一丶フノフ,U+58F1
78,溢,dật,⿰,⺡益,13.0,thuỷ,水,丶丶一丶ノ一ノ丶丨フ丨丨一,U+6EA2
79,逸,dật,⿺,辶兔,11.0,sước,辵,ノフ丨フ一ノフ丶丶フ丶,U+9038
80,稲,đạo,⿱⿱,禾爫旧,14.0,hoà,禾,ノ一丨ノ丶ノ丶丶ノ丨丨フ一一,U+7A32
81,茨,tì từ tỳ,⿱,艹次,9.0,thảo,艸,一丨丨丶一ノフノ丶,U+8328
82,芋,dụ hu vu,⿱,艹于,6.0,thảo,艸,一丨丨一一丨,U+828B
83,鰯,mòi nhuyễn,⿰,魚弱,21.0,ngư,魚,ノフ丨フ一丨一丶丶丶丶フ一フ丶一フ一フ丶一,U+9C2F
84,允,doãn duẫn,⿱,厶儿,4.0,nhân,儿,フ丶ノフ,U+5141
85,印,ấn,⿰,卩,5.0,tiết,卩,ノフ一フ丨,U+5370
86,咽,yên yến yết ân ế,⿰,口因,9.0,khẩu,口,丨フ一丨フ一ノ丶一,U+54BD
87,員,viên vân,⿱,口貝,10.0,khẩu,口,丨フ一丨フ一一一ノ丶,U+54E1
88,因,nhân,⿴,囗大,6.0,vi,囗,丨フ一ノ丶一,U+56E0
89,姻,nhân,⿰,女因,9.0,nữ,女,フノ一丨フ一ノ丶一,U+59FB
90,引,dấn dẫn,⿰,弓丨,4.0,cung,弓,フ一フ丨,U+5F15
91,飲,ấm ẩm,⿰,飠欠,12.0,thực,食,ノ丶丶フ一一フ丶ノフノ丶,U+98F2
92,淫,dâm,⿰,⺡㸒,11.0,thuỷ,水,丶丶一ノ丶丶ノノ一丨一,U+6DEB
93,胤,dận,⿲⿱,丿幺月乚,9.0,nhục,肉,ノフフ丶丨フ一一フ,U+80E4
94,蔭,âm ấm,⿱,艹陰,13.0,thảo,艸,一丨丨フ丨ノ丶丶フ一一フ丶,U+852D
95,院,viện,⿰,⻖完,9.0,phụ,阜,フ丨丶丶フ一一ノフ,U+9662
96,陰,uẩn ám âm ấm,⿰,⻖侌,10.0,phụ,阜,フ丨ノ丶丶フ一一フ丶,U+9670
97,隠,ẩn,⿰⿳,⻖爫彐心,13.0,phụ,阜,フ丨ノ丶丶ノフ一一丶フ丶丶,U+96A0
98,韻,vận,⿰,音員,19.0,âm,音,丶一丶ノ一丨フ一一丨フ一丨フ一一一ノ丶,U+97FB
99,吋,thốn đẩu,⿰,口寸,6.0,khẩu,口,丨フ一一丨丶,U+540B
100,右,hữu,⿸,𠂇口,5.0,khẩu,口,一ノ丨フ一,U+53F3
101,宇,vũ,⿱,宀于,6.0,miên,宀,丶丶フ一一丨,U+5B87
102,烏,ô,⿱,火,10.0,hoả,火,ノ丨フ一一フ丶丶丶丶,U+70CF
103,羽,vũ,⿰,习,6.0,vũ,羽,フ丶一フ丶一,U+7FBD
104,迂,vu,⿺,辶于,6.0,sước,辵,一一丨丶フ丶,U+8FC2
105,雨,vú vũ vụ,⿱,雨,8.0,vũ,雨,一丨フ丨丶丶丶丶,U+96E8
106,卯,mão mẹo,⿰,卩,5.0,tiết,卩,ノフノフ丨,U+536F
107,鵜,đề,⿰,弟鳥,18.0,điểu,鳥,丶ノフ一フ丨ノノ丨フ一一一フ丶丶丶丶,U+9D5C
108,窺,khuy,⿱,穴規,16.0,huyệt,穴,丶丶フノ丶一一ノ丶丨フ一一一ノフ,U+7ABA
109,丑,sửu xú,⿻,一,4.0,nhất,一,フ丨一一,U+4E11
110,碓,đối,⿰,石隹,13.0,thạch,石,一ノ丨フ一ノ丨丶一一一丨一,U+7893
111,臼,cữu,⿱,臼,6.0,cữu,臼,ノ丨一フ一一,U+81FC
112,渦,oa qua,⿰,⺡咼,11.0,thuỷ,水,丶丶一丨フフ丨フ丨フ一,U+6E26
113,嘘,hư,⿰,口虚,14.0,khẩu,口,丨フ一丨一フノ一フ丨丨丶ノ一,U+5618
114,唄,bái bại bối,⿰,口貝,10.0,khẩu,口,丨フ一丨フ一一一ノ丶,U+5504
115,欝,uất,⿳⿰,棥网寸,25.0,mộc,木,一丨ノ丶ノ丶ノ丶一丨ノ丶丨フ丨丨一フ一一フ丶一丨丶,U+6B1D
116,蔚,uý uất,⿱,艹尉,14.0,thảo,艸,一丨丨フ一ノ一一丨ノ丶一丨丶,U+851A
117,鰻,man,⿰,魚曼,22.0,ngư,魚,ノフ丨フ一丨一丶丶丶丶丨フ一一丨フ丨丨一フ丶,U+9C3B
118,姥,lão lạo mỗ mụ,⿰,女老,9.0,nữ,女,フノ一一丨一ノノフ,U+59E5
119,厩,cứu,⿸,厂既,11.0,hán,厂,一ノフ一一フ丶一フノフ,U+53A9
120,浦,phố phổ,⿰,⺡甫,10.0,thuỷ,水,丶丶一一丨フ一一丨丶,U+6D66
121,瓜,qua,⿸,瓜,5.0,qua,瓜,ノノフ丶丶,U+74DC
122,閏,nhuận,⿵,門王,12.0,môn,門,丨フ一一丨フ一一一一丨一,U+958F
123,噂,tổn tỗn,⿰,口尊,15.0,khẩu,口,丨フ一丶ノ一丨フノフ一一一丨丶,U+5642
124,云,vân,⿱,二厶,4.0,nhị,二,一一フ丶,U+4E91
125,運,vận,⿺,辶軍,12.0,sước,辵,丶フ一丨フ一一一丨丶フ丶,U+904B
126,雲,vân,⿱,雨云,12.0,vũ,雨,一丶フ丨丶丶丶丶一一フ丶,U+96F2
127,荏,nhẫm,⿱,艹任,9.0,thảo,艸,一丨丨ノ丨ノ一丨一,U+834F
128,餌,nhĩ nhị,⿰,飠耳,14.0,thực,食,ノ丶丶フ一一フ丶一丨丨一一一,U+990C
129,叡,duệ,⿰,睿又,16.0,hựu,又,丨一丶フ一ノ丶ノ丶丨フ一一一フ丶,U+53E1
130,営,dinh doanh,⿳,⺍冖吕,11.0,khẩu,口,丶丶ノ丶フ丨フ一丨フ一,U+55B6
131,嬰,anh,⿱,賏女,17.0,nữ,女,丨フ一一一ノ丶丨フ一一一ノ丶フノ一,U+5B30
132,影,ảnh,⿰,景彡,15.0,sam,彡,丨フ一一丶一丨フ一丨ノ丶ノノノ,U+5F71
133,映,ánh,⿰,日央,9.0,nhật,日,丨フ一一丨フ一ノ丶,U+6620
134,曳,duệ,⿻,土日,6.0,viết,曰,丨フ一一フノ,U+66F3
135,栄,vinh,⿳,⺍冖木,9.0,mộc,木,丶丶ノ丶フ一丨ノ丶,U+6804
136,永,vĩnh vịnh,⿻,水,5.0,thuỷ,水,丶フフノ丶,U+6C38
137,泳,vịnh,⿰,⺡永,8.0,thuỷ,水,丶丶一丶フフノ丶,U+6CF3
138,洩,duệ tiết,⿰,⺡曳,9.0,thuỷ,水,丶丶一丨フ一一フノ,U+6D29
139,瑛,anh,⿰,⺩英,12.0,ngọc,玉,一一丨一一丨丨丨フ一ノ丶,U+745B
140,盈,doanh,⿱,夃皿,9.0,mẫn,皿,フノフ丶丨フ丨丨一,U+76C8
141,穎,dĩnh,⿰⿱,匕禾頁,16.0,hoà,禾,ノフノ一丨ノ丶一ノ丨フ一一一ノ丶,U+7A4E
142,頴,dĩnh,⿰⿱,匕示頁,16.0,hiệt,頁,ノフ一一丨ノ丶一ノ丨フ一一一ノ丶,U+9834
143,英,anh,⿱,艹央,8.0,thảo,艸,一丨丨丨フ一ノ丶,U+82F1
144,衛,vệ,⿴,行韋,15.0,hành,行,ノノ丨フ丨一丨フ一一フ丨一一丨,U+885B
145,詠,vịnh,⿰,言永,12.0,ngôn,言,丶一一一丨フ一丶フフノ丶,U+8A60
146,鋭,duệ nhuệ đoái,⿰,金兑,15.0,kim,金,ノ丶一一丨丶ノ一丶ノ丨フ一ノフ,U+92ED
147,液,dịch,⿰,⺡夜,11.0,thuỷ,水,丶丶一丶一ノ丨ノフ丶丶,U+6DB2
148,疫,dịch,⿸,疒殳,9.0,nạch,疒,丶一ノ丶一ノフフ丶,U+75AB
149,益,ích,⿱⿱,䒑八皿,10.0,mẫn,皿,丶ノ一ノ丶丨フ丨丨一,U+76CA
150,駅,dịch,⿰,馬尺,14.0,mã,馬,一丨一一丨フ丶丶丶丶フ一ノ丶,U+99C5
151,悦,duyệt,⿰,⺖兑,10.0,tâm,心,丶丶丨丶ノ丨フ一ノフ,U+60A6
152,謁,yết,⿰,言曷,16.0,ngôn,言,丶一一一丨フ一丨フ一一ノフノ丶フ,U+8B01
153,越,hoạt việt,⿺,走戉,12.0,tẩu,走,一丨一丨一ノ丶一フフノ丶,U+8D8A
154,閲,duyệt,⿵,門兑,15.0,môn,門,丨フ一一丨フ一一丶ノ丨フ一ノフ,U+95B2
155,榎,giả,⿰,木夏,14.0,mộc,木,一丨ノ丶一ノ丨フ一一一ノフ丶,U+698E
156,厭,yêm yếm yểm áp ấp,⿸,厂猒,14.0,hán,厂,一ノ丨フ一一丨フ一一一ノ丶丶,U+53AD
157,円,viên,⿻,冂,4.0,quynh,冂,丨フ丨一,U+5186
158,園,viên,⿴,囗袁,13.0,vi,囗,丨フ一丨一丨フ一ノ丨フ丶一,U+5712
159,堰,yển,⿰,土匽,12.0,thổ,土,一丨一一丨フ一一フノ一フ,U+5830
160,奄,yêm yểm,⿱,大电,8.0,đại,大,一ノ丶丨フ一一フ,U+5944
161,宴,yến,⿱,宀妟,10.0,miên,宀,丶丶フ丨フ一一フノ一,U+5BB4
162,延,diên duyên,⿺,廴正,6.0,dẫn,廴,ノ丨一フフ丶,U+5EF6
163,怨,oán uẩn,⿱,夗心,9.0,tâm,心,ノフ丶フフ丶フ丶丶,U+6028
164,掩,yểm,⿰,⺘奄,11.0,thủ,手,一丨一一ノ丶丨フ一一フ,U+63A9
165,援,viên viện,⿰,⺘爰,12.0,thủ,手,一丨一ノ丶丶ノ一一ノフ丶,U+63F4
166,沿,diên duyên,⿰⿱,⺡几口,8.0,thuỷ,水,丶丶一ノフ丨フ一,U+6CBF
167,演,diễn,⿰,⺡寅,14.0,thuỷ,水,丶丶一丶丶フ一丨フ一丨一ノ丶,U+6F14
168,炎,diễm viêm đàm,⿱,火火,8.0,hoả,火,丶ノノ丶丶ノノ丶,U+708E
169,焔,diễm,⿰,火臽旧,11.0,hoả,火,丶ノノ丶ノフ丨丨フ一一,U+7114
170,煙,yên,⿰,火垔,13.0,hoả,火,丶ノノ丶一丨フ丨丨一一丨一,U+7159
171,燕,yên yến,⿰,火廿北口,16.0,hoả,火,一丨丨一丨フ一丨一一ノフ丶丶丶丶,U+71D5
172,猿,viên,⿰,⺨袁,13.0,khuyển,犬,ノフノ一丨一丨フ一ノフノ丶,U+733F
173,縁,duyên,⿰⿱,糹彐𧰨,15.0,mịch,糸,フフ丶丶丶丶フ一一ノフノノノ丶,U+7E01
174,艶,diễm,⿰,豊色,19.0,sắc,色,丨フ一丨丨一一丨フ一丶ノ一ノフフ丨一フ,U+8276
175,苑,uyển uân uất uẩn,⿱,艹夗,8.0,thảo,艸,一丨丨ノフ丶フフ,U+82D1
176,薗,viên,⿱,艹園,16.0,thảo,艸,一丨丨丨フ一丨一丨フ一ノフノ丶一,U+8597
177,遠,viến viển viễn,⿺,辶袁,13.0,sước,辵,一丨一丨フ一ノ丨ノ丶丶フ丶,U+9060
178,鉛,diên duyên,⿰⿱,金几口,13.0,kim,金,ノ丶一一丨丶ノ一ノフ丨フ一,U+925B
179,鴛,uyên,⿱,夗鳥,16.0,điểu,鳥,ノフ丶フフノ丨フ一一一フ丶丶丶丶,U+9D1B
180,塩,diêm,⿰⿳,土𠂉口皿,13.0,thổ,土,一丨一ノ一丨フ一丨フ丨丨一,U+5869
181,於,ô ư,⿰,方仒,8.0,phương,方,丶一フノノ丶丶丶,U+65BC
182,汚,ô ố,⿰,⺡亐,6.0,thuỷ,水,丶丶一一一フ,U+6C5A
183,甥,sanh sinh,⿰,生男,12.0,sinh,生,ノ一一丨一丨フ一丨一フノ,U+7525
184,凹,ao,⿻,凵,5.0,khảm,凵,丨フ丨フ一,U+51F9
185,央,ương,⿻,大,5.0,đại,大,丨フ一ノ丶,U+592E
186,奥,áo úc,⿳⿱,冂米大,12.0,đại,大,ノ丨フ丶ノ一丨ノ丶一ノ丶,U+5965
187,往,vãng,⿰,彳主,8.0,xích,彳,ノノ丨丶一一丨一,U+5F80
188,応,ưng,⿸,广心,7.0,tâm,心,丶一ノ丶フ丶丶,U+5FDC
189,押,áp,⿰,⺘甲,8.0,thủ,手,一丨一丨フ一一丨,U+62BC
190,旺,vượng,⿰,日王,8.0,nhật,日,丨フ一一一一丨一,U+65FA
191,横,hoành hoạnh quáng,⿰,木黄,15.0,mộc,木,一丨ノ丶一丨丨一丨フ一丨一ノ丶,U+6A2A
192,欧,âu ẩu,⿰,区欠,8.0,khiếm,欠,一ノ丶フノフノ丶,U+6B27
193,殴,ấu ẩu,⿰,区殳,8.0,thù,殳,一ノ丶フノフフ丶,U+6BB4
194,王,vương vượng,⿻,王,4.0,ngọc,玉,一一丨一,U+738B
195,翁,ông,⿱,公羽,10.0,vũ,羽,ノ丶フ丶フ丶一フ丶一,U+7FC1
196,襖,áo,⿰,衤奧,17.0,y,衣,丶フ丨ノ丶ノ丨フ丶ノ一丨ノ丶一ノ丶,U+8956
197,鴬,hạc oanh,⿳,⺍冖鳥,16.0,điểu,鳥,丶丶ノ丶フノ丨フ一一一フ丶丶丶丶,U+9D2C
198,鴎,âu,⿰,区鳥,15.0,điểu,鳥,一ノ丶フノ丨フ一一一フ丶丶丶丶,U+9D0E
199,黄,hoàng huỳnh,⿱,艸田八,11.0,hoàng,黃,一丨丨一丨フ一丨一ノ丶,U+9EC4
200,岡,cương,⿵⿱,冂䒑山,8.0,sơn,山,丨フ丶ノ一丨フ丨,U+5CA1
201,沖,trùng xung,⿰,⺡中,7.0,thuỷ,水,丶丶一丨フ一丨,U+6C96
202,荻,địch,⿱,艹狄,10.0,thảo,艸,一丨丨ノフノ丶ノノ丶,U+837B
203,億,ức,⿰,亻意,15.0,nhân,人,ノ丨丶一丶ノ一丨フ一一丶フ丶丶,U+5104
204,屋,ốc,⿸,尸至,9.0,thi,尸,フ一ノ一フ丶一丨一,U+5C4B
205,憶,ức,⿰,⺖意,16.0,tâm,心,丶丶丨丶一丶ノ一丨フ一一丶フ丶丶,U+61B6
206,臆,ức,⿰,月意,17.0,nhục,肉,ノフ一一丶一丶ノ一丨フ一一丶フ丶丶,U+81C6
207,桶,dõng dũng thũng,⿰,木甬,11.0,mộc,木,一丨ノ丶フ丶丨フ一一丨,U+6876
208,牡,mẫu,⿰,牜土,7.0,ngưu,牛,ノ一丨一一丨一,U+7261
209,乙,ất,⿻,乙,1.0,ất,乙,フ,U+4E59
210,俺,yêm,⿰,亻奄,10.0,nhân,人,ノ丨一ノ丶丨フ一一フ,U+4FFA
211,卸,tá,⿰,𦈢卩,9.0,tiết,卩,ノ一一丨一丨一フ丨,U+5378
212,恩,ân,⿱,因心,10.0,tâm,心,丨フ一ノ丶一丶フ丶丶,U+6069
213,温,uẩn ôn,⿰,⺡昷,12.0,thuỷ,水,丶丶一丨フ一一丨フ丨丨一,U+6E29
214,穏,ổn,⿰⿳,禾爫彐心,17.0,hoà,禾,ノ一丨ノ丶ノ丶丶ノフ一一丶フ丶丶,U+7A4F
215,音,âm ấm,⿱,立日,9.0,âm,音,丶一丶ノ一丨フ一一,U+97F3
216,下,há hạ,⿻,一,3.0,nhất,一,一丨丶,U+4E0B
217,化,hoa hoá,⿰,亻𠤎,4.0,tỷ,匕,ノ丨ノフ,U+5316
218,仮,giá giả,⿰,亻反,6.0,nhân,人,ノ丨ノノフ丶,U+4EEE
219,何,hà,⿰,亻可,7.0,nhân,人,ノ丨一丨フ一丨,U+4F55
220,伽,cà gia già,⿰,亻加,7.0,nhân,人,ノ丨フノ丨フ一,U+4F3D
221,価,giá,⿰,亻覀,8.0,nhân,人,ノ丨一丨フ丨丨一,U+4FA1
222,佳,giai,⿰,亻圭,8.0,nhân,人,ノ丨一丨一一丨一,U+4F73
223,加,gia,⿰,力口,5.0,lực,力,フノ丨フ一,U+52A0
224,可,khả khắc,⿹,丁口,5.0,khẩu,口,一丨フ一丨,U+53EF
225,嘉,gia,⿱,壴加,14.0,khẩu,口,一丨一丨フ一丶ノ一フノ丨フ一,U+5609
226,夏,giá giạ hạ,⿱,𦣻夂,10.0,tuy,夊,一ノ丨フ一一一ノフ丶,U+590F
227,嫁,giá,⿰,女家,13.0,nữ,女,フノ一丶丶フ一ノフノノノ丶,U+5AC1
228,家,cô gia,⿱,宀豕,10.0,miên,宀,丶丶フ一ノフノノノ丶,U+5BB6
229,寡,quả,⿳⿱,宀頁分八刀,14.0,miên,宀,丶丶フ一ノ丨フ一一一ノ丶フノ,U+5BE1
230,科,khoa,⿰,禾斗,9.0,hoà,禾,ノ一丨ノ丶丶丶一丨,U+79D1
231,暇,hạ xuyết,⿰,日叚,13.0,nhật,日,丨フ一一フ一丨一一フ一フ丶,U+6687
232,果,quả,⿱,木日,8.0,mộc,木,丨フ一一一丨ノ丶,U+679C
233,架,giá,⿱,加木,9.0,mộc,木,フノ丨フ一一丨ノ丶,U+67B6
234,歌,ca,⿰,哥欠,14.0,khiếm,欠,一丨フ一丨一丨フ一丨ノフノ丶,U+6B4C
235,河,hà,⿰,⺡可,8.0,thuỷ,水,丶丶一一丨フ一丨,U+6CB3
236,火,hoả,⿻,火,4.0,hoả,火,丶ノノ丶,U+706B
237,珂,kha,⿰,⺩可,9.0,ngọc,玉,一一丨一一丨フ一丨,U+73C2
238,禍,hoạ,⿰,⺭咼,12.0,kỳ,示,丶フ丨丶丨フフ丨フ丨フ一,U+798D
239,禾,hoà,⿻,禾,5.0,hoà,禾,ノ一丨ノ丶,U+79BE
240,稼,giá,⿰,禾家,15.0,hoà,禾,ノ一丨ノ丶丶丶フ一ノフノノノ丶,U+7A3C
241,箇,cá,⿱,⺮固,14.0,trúc,竹,ノ一丶ノ一丶丨フ一丨丨フ一一,U+7B87
242,花,hoa,⿱,艹化,7.0,thảo,艸,一丨丨ノ丨ノフ,U+82B1
243,苛,ha hà kha,⿱,艹可,8.0,thảo,艸,一丨丨一丨フ一丨,U+82DB
244,茄,cà gia già,⿱,艹加,8.0,thảo,艸,一丨丨フノ丨フ一,U+8304
245,荷,hà hạ,⿱,艹何,10.0,thảo,艸,一丨丨ノ丨一丨フ一丨,U+8377
246,華,hoa hoá,⿱,艸,10.0,thảo,艸,一丨丨一一丨丨一一丨,U+83EF
247,菓,quả,⿱,艹果,11.0,thảo,艸,一丨丨丨フ一一一丨ノ丶,U+83D3
248,蝦,hà,⿰,虫叚,15.0,trùng,虫,丨フ一丨一丶フ一丨一一フ一フ丶,U+8766
249,課,khoá,⿰,言果,15.0,ngôn,言,丶一一一丨フ一丨フ一一一丨ノ丶,U+8AB2
250,嘩,hoa,⿰,口華,13.0,khẩu,口,丨フ一一丨丨一一丨丨一一丨,U+5629
251,貨,hoá,⿱,化貝,11.0,bối,貝,ノ丨ノフ丨フ一一一ノ丶,U+8CA8
252,迦,ca già,⿺,辶加,8.0,sước,辵,フノ丨フ一丶フ丶,U+8FE6
253,過,qua quá,⿺,辶咼,11.0,sước,辵,丨フフ丨フ丨フ一丶フ丶,U+904E
254,霞,hà,⿱,雨叚,17.0,vũ,雨,一丶フ丨丶丶丶丶フ一丨一一フ一フ丶,U+971E
255,蚊,văn,⿰,虫文,10.0,trùng,虫,丨フ一丨一丶丶一ノ丶,U+868A
256,俄,nga,⿰,亻我,9.0,nhân,人,ノ丨ノ一丨一フノ丶,U+4FC4
257,峨,nga,⿰,山我,10.0,sơn,山,丨フ丨ノ一丨一フノ丶,U+5CE8
258,我,ngã,⿰,戈,7.0,qua,戈,ノ一丨一フノ丶,U+6211
